ID;Gene;ID_uniprot;Specie_ID;Specie;Rank_1;Rank_2;Gene_ID;Transcrit_ID;Total_error;Err_Nter;Err_Interne;Err_Cter;Quality;Gene_length;%GC;Nbr_exon;Exon_length
BBS;BBS1;BBS1_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENSG00000174483;ENST00000318312;0;0;0;0;Confirmed;23008;49.92;17;198.1
BBS;BBS1;G3RBR0_GORGO;GORGO;Gorilla gorilla gorilla;Opisthokonta;Metazoa;ENSGGOG00000013241;ENSGGOT00000013296;0;0;0;0;Confirmed;23043;49.89;17;200.7
BBS;BBS1;H2NCR2_PONAB;PONAB;Pongo abelii;Opisthokonta;Metazoa;ENSPPYG00000003022;ENSPPYT00000003624;0;0;0;0;Confirmed;21265;50.12;17;198.1
BBS;BBS1;M3ZCM3_NOMLE;NOMLE;Nomascus leucogenys;Opisthokonta;Metazoa;ENSNLEG00000026642;ENSNLET00000032825;0;0;0;0;Confirmed;21889;49.98;13;239.3
BBS;BBS1;A0A0D9R7I6_CHLSB;CHLSB;Chlorocebus sabaeus;Opisthokonta;Metazoa;ENSCSAG00000008318;ENSCSAT00000006368;0;0;0;0;Confirmed;27155;49.59;17;224.6
BBS;BBS1;A0A096MMY7_PAPAN;PAPAN;Papio anubis;Opisthokonta;Metazoa;ENSPANG00000000275;ENSPANT00000001420;0;0;0;0;Confirmed;25593;49.87;17;104.1
BBS;BBS1;F7IDY9_CALJA;CALJA;Callithrix jacchus;Opisthokonta;Metazoa;ENSCJAG00000032439;ENSCJAT00000002736;0;0;0;0;Confirmed;18078;50.19;17;104.8
BBS;BBS1;H0XPD1_OTOGA;OTOGA;Otolemur garnettii;Opisthokonta;Metazoa;ENSOGAG00000024410;ENSOGAT00000034629;0;0;0;0;Confirmed;19100;48.84;17;104.8
BBS;BBS1;Q3V3N7_MOUSE;MOUSE;Mus musculus;Opisthokonta;Metazoa;ENSMUSG00000006464;ENSMUST00000053506;0;0;0;0;Confirmed;19751;49.04;17;329.5
BBS;BBS1;D4A4U2_RAT;RAT;Rattus norvegicus;Opisthokonta;Metazoa;ENSRNOG00000019832;ENSRNOT00000026915;0;0;0;0;Confirmed;18352;48.64;17;245.1
BBS;BBS1;H0WCG0_CAVPO;CAVPO;Cavia porcellus;Opisthokonta;Metazoa;ENSCPOG00000022395;ENSCPOT00000020117;0;0;0;0;Confirmed;17861;48.71;17;239.2
BBS;BBS1;G5BWY4_HETGA;HETGA;Heterocephalus glaber;Opisthokonta;Metazoa;ENSHGLG00100007000;ENSHGLT00100009551;0;0;0;0;Confirmed;18848;48.15;17;202.4
BBS;BBS1;I3NHG2_ICTTR;ICTTR;Ictidomys tridecemlineatus;Opisthokonta;Metazoa;ENSSTOG00000022467;ENSSTOT00000027207;0;0;0;0;Confirmed;17152;47.54;17;227.6
BBS;BBS1;G1U012_RABIT;RABIT;Oryctolagus cuniculus;Opisthokonta;Metazoa;ENSOCUG00000027758;ENSOCUT00000023508;2;0;2;0;Unconfirmed;14979;57.62;18;101.3
BBS;BBS1;E2RIJ8_CANLF;CANLF;Canis lupus familiaris;Opisthokonta;Metazoa;ENSCAFG00000012580;ENSCAFT00000019986;0;0;0;0;Confirmed;17211;46.52;17;126.3
BBS;BBS1;G1LXJ6_AILME;AILME;Ailuropoda melanoleuca;Opisthokonta;Metazoa;ENSAMEG00000011183;ENSAMET00000012299;0;0;0;0;Confirmed;15411;50.26;17;105.4
BBS;BBS1;M3XVF5_MUSPF;MUSPF;Mustela putorius furo;Opisthokonta;Metazoa;ENSMPUG00000003086;ENSMPUT00000003118;0;0;0;0;Confirmed;16207;51.11;17;104.8
BBS;BBS1;M3WSX8_FELCA;FELCA;Felis catus;Opisthokonta;Metazoa;ENSFCAG00000024650;ENSFCAT00000028177;0;0;0;0;Confirmed;19234;48.63;17;223.5
BBS;BBS1;E1BN34_BOVIN;BOVIN;Bos taurus;Opisthokonta;Metazoa;ENSBTAG00000020147;ENSBTAT00000026844;0;0;0;0;Confirmed;14510;51.72;17;123.0
BBS;BBS1;W5P7J1_SHEEP;SHEEP;Ovis aries;Opisthokonta;Metazoa;ENSOARG00000005964;ENSOART00000006492;0;0;0;0;Confirmed;15851;51.62;18;99.0
BBS;BBS1;G1Q6T8_MYOLU;MYOLU;Myotis lucifugus;Opisthokonta;Metazoa;ENSMLUG00000025672;ENSMLUT00000026982;1;0;0;1;Unconfirmed;14800;49.46;17;100.9
BBS;BBS1;F7AHJ9_HORSE;HORSE;Equus caballus;Opisthokonta;Metazoa;ENSECAG00000017091;ENSECAT00000018350;0;0;0;0;Confirmed;15089;50.75;17;104.8
BBS;BBS1;G5E7D8_LOXAF;LOXAF;Loxodonta africana;Opisthokonta;Metazoa;ENSLAFG00000022127;ENSLAFT00000022210;0;0;0;0;Confirmed;15687;51.86;18;99.0
BBS;BBS1;F7E4F6_MONDO;MONDO;Monodelphis domestica;Opisthokonta;Metazoa;ENSMODG00000008186;ENSMODT00000010367;2;1;1;0;Unconfirmed;5928;60.17;14;112.9
BBS;BBS1;G3W4X1_SARHA;SARHA;Sarcophilus harrisii;Opisthokonta;Metazoa;ENSSHAG00000009043;ENSSHAT00000010569;0;0;0;0;Confirmed;5820;65.1;17;104.8
BBS;BBS1;F7EQ74_ORNAN;ORNAN;Ornithorhynchus anatinus;Opisthokonta;Metazoa;ENSOANG00000007064;ENSOANT00000011242;2;1;0;1;Unconfirmed;13201;56.39;12;96.7
BBS;BBS1;K7F525_PELSI;PELSI;Pelodiscus sinensis;Opisthokonta;Metazoa;ENSPSIG00000003012;ENSPSIT00000003148;1;0;0;1;Unconfirmed;10657;54.72;14;341.9
BBS;BBS1;H9GG47_ANOCA;ANOCA;Anolis carolinensis;Opisthokonta;Metazoa;ENSACAG00000010165;ENSACAT00000010215;1;1;0;0;Unconfirmed;30558;42.12;17;337.2
BBS;BBS1;F7DYZ6_XENTR;XENTR;Xenopus tropicalis;Opisthokonta;Metazoa;ENSXETG00000026165;ENSXETT00000044470;0;0;0;0;Confirmed;18436;38.98;17;174.3
BBS;BBS1;H3A6Z7_LATCH;LATCH;Latimeria chalumnae;Opisthokonta;Metazoa;ENSLACG00000004821;ENSLACT00000005466;1;1;0;0;Unconfirmed;32362;44.32;20;121.7
BBS;BBS1;W5M3R4_LEPOC;LEPOC;Lepisosteus oculatus;Opisthokonta;Metazoa;ENSLOCG00000002571;ENSLOCT00000003028;4;0;3;1;Unconfirmed;19326;53.44;16;95.1
BBS;BBS1;B3DFT2_DANRE;DANRE;Danio rerio;Opisthokonta;Metazoa;ENSDARG00000075169;ENSDART00000113061;0;0;0;0;Confirmed;16845;34.08;17;159.5
BBS;BBS1;W5LLH1_ASTMX;ASTMX;Astyanax mexicanus;Opisthokonta;Metazoa;ENSAMXG00000020073;ENSAMXT00000020683;1;1;0;0;Unconfirmed;8417;37.76;14;118.1
BBS;BBS1;I3KSH0_ORENI;ORENI;Oreochromis niloticus;Opisthokonta;Metazoa;ENSONIG00000019119;ENSONIT00000024087;0;0;0;0;Confirmed;4043;52.02;6;298.5
BBS;BBS1;A0A087YHA2_POEFO;POEFO;Poecilia formosa;Opisthokonta;Metazoa;ENSPFOG00000017330;ENSPFOT00000017427;0;0;0;0;Confirmed;19863;39.76;7;293.7
